Nom.scientifique;Common.name;Nom.vernaculaire;Commentaire;Règne;Embranchement;Classe;Ordre;Famille;Genre;ID.WoRMS;ID.ITIS;Présent.Brunel.1998;Taxons.IML
Rajella bathyphila;Abyssal Skate;Raie Abyssale;;Animalia;Chordata;Elasmobranchii;Rajiformes;Rajidae;Rajella;105892;;;
Rajella bigelowi;Bigelow S Ray ou Deepwater Ray;Raie À  Ventre Noir ou Raie De Bigelow ou Raie Chocolat;;Animalia;Chordata;Elasmobranchii;Rajiformes;Rajidae;Rajella;105893;;;
Rajella fyllae;Round Skate;Raie Ronde;;Animalia;Chordata;Elasmobranchii;Rajiformes;Rajidae;Rajella;105894;;;Oui
Rajella lintea;;;;Animalia;Chordata;Elasmobranchii;Rajiformes;Rajidae;Rajella;1019159;;;
Ramphonotus minax;;;;Animalia;Bryozoa;Gymnolaemata;Cheilostomatida;Calloporidae;Ramphonotus;111220;;Oui;
Ramphonotus septentrionalis;;;;Animalia;Bryozoa;Gymnolaemata;Cheilostomatida;Calloporidae;Ramphonotus;469358;;Oui;
Rathkea octopunctata;;;;Animalia;Cnidaria;Hydrozoa;Anthoathecata;Rathkeidae;Rathkea;117848;;Oui;
Rattus norvegicus;Brown Rat;Rat Surmulot;;Animalia;Chordata;Mammalia;Rodentia;Muridae;Rattus;993634;;;
Raymondcia majuscula;;;;Animalia;Bryozoa;Gymnolaemata;Cheilostomatida;Smittinidae;Raymondcia;607843;;Oui;
Regalecus glesne;King Of Herrings ou Oar-Fish;Roi Des Harengs;;Animalia;Chordata;Actinopteri;Lampriformes;Regalecidae;Regalecus;126525;;;
Reinhardtius hippoglossoides;Greenland Halibut;Flétan Du Groenland ou Flétan Noir;;Animalia;Chordata;Actinopteri;Pleuronectiformes;Pleuronectidae;Reinhardtius;127144;;;Oui
Remora brachyptera;Spearfish Remora;Rémora Des Espadons ou Rémora Blanc Des Marlins ou Rémora Brun;;Animalia;Chordata;Actinopteri;Carangiformes;Echeneidae;Remora;126851;;;
Remora remora;Common Remora ou Sharksucker ou Remora;Rémora Commun ou Rémora Noir;;Animalia;Chordata;Actinopteri;Carangiformes;Echeneidae;Remora;126853;;;
Reteporella grimaldii;;;;Animalia;Bryozoa;Gymnolaemata;Cheilostomatida;Phidoloporidae;Reteporella;111453;;;
Retifusus latericeus;;;;Animalia;Mollusca;Gastropoda;Neogastropoda;Buccinidae;Retifusus;827212;;Oui;Oui
Retusa obtusa;Arctic Barrel-Bubble;Bulle Arctique;;Animalia;Mollusca;Gastropoda;Cephalaspidea;Retusidae;Retusa;141134;;Oui;Oui
Retusa umbilicata;;;;Animalia;Mollusca;Gastropoda;Cephalaspidea;Retusidae;Retusa;156376;;Oui;Oui
Retusophiline lima;;;;Animalia;Mollusca;Gastropoda;Cephalaspidea;Laonidae;Retusophiline;423717;;Oui;Oui
Rhachotropis aculeata;;;;Animalia;Arthropoda;Malacostraca;Amphipoda;Eusiridae;Rhachotropis;102224;;Oui;Oui
Rhachotropis distincta;;;;Animalia;Arthropoda;Malacostraca;Amphipoda;Eusiridae;Rhachotropis;102227;;Oui;Oui
Rhachotropis inflata;;;;Animalia;Arthropoda;Malacostraca;Amphipoda;Eusiridae;Rhachotropis;102234;;Oui;Oui
Rhachotropis macropus;;;;Animalia;Arthropoda;Malacostraca;Amphipoda;Eusiridae;Rhachotropis;102239;;;
