Nom.scientifique;Common.name;Nom.vernaculaire;Commentaire;Règne;Embranchement;Classe;Ordre;Famille;Genre;ID.WoRMS;ID.ITIS;Présent.Brunel.1998;Taxons.IML
Urticina crassicornis;;;attention aux confusions avec Urticina felina;Animalia;Cnidaria;Anthozoa;Actiniaria;Actiniidae;Urticina;100832;;;
Mytilus trossulus;Foolish Mussel;;attention aux confusions avec Mytilus edulis;Animalia;Mollusca;Bivalvia;Mytilida;Mytilidae;Mytilus;140482;;;
Eualus belcheri;;;en révision taxonomique;Animalia;Arthropoda;Malacostraca;Decapoda;Thoridae;Eualus;107502;;;
Hyas alutaceus;;;en révision taxonomique;Animalia;Arthropoda;Malacostraca;Decapoda;Oregoniidae;Hyas;442166;;;
Alcyonidium;;;plusieurs espèces nécessitent une confirmation;Animalia;Bryozoa;Gymnolaemata;Ctenostomatida;Alcyonidiidae;Alcyonidium;110993;;;
Gersemia;;;plusieurs espèces nécessitent une confirmation;Animalia;Cnidaria;Anthozoa;Alcyonacea;Nephtheidae;Gersemia;146953;;;
Iophon;;;plusieurs espèces nécessitent une confirmation;Animalia;Porifera;Demospongiae;Poecilosclerida;Acarnidae;Iophon;131863;;;
Nephtheidae;;;plusieurs espèces nécessitent une confirmation;Animalia;Cnidaria;Anthozoa;Alcyonacea;Nephtheidae;rank absent;146762;;;
Thyasira;;;plusieurs espèces nécessitent une confirmation;Animalia;Mollusca;Bivalvia;Lucinida;Thyasiridae;Thyasira;138552;;;
Botrylloides violaceus;Colonial Sea Squirt;Botrylle Violet;a confirmer invasif depuis eaux tropicales;Animalia;Chordata;Ascidiacea;Stolidobranchia;Styelidae;Botrylloides;148715;;;
Eumicrotremus terraenovae;;;nouvelle espèce-historiquement mal identifiée dans la région;Animalia;Chordata;Actinopteri;Perciformes;Cyclopteridae;Eumicrotremus;159521;;;
Liparis bathyarcticus;;;nouvelle espèce-historiquement mal identifiée dans la région;Animalia;Chordata;Actinopteri;Perciformes;Liparidae;Liparis;867958;;;
Myxine limosa;;;nouvelle espèce-historiquement mal identifiée dans la région;Animalia;Chordata;Myxini;Myxiniformes;Myxinidae;Myxine;271309;;;
Polyipnus clarus;Slope Hatchetfish ;;nouvelle espèce-historiquement mal identifiée dans la région;Animalia;Chordata;Actinopteri;Stomiiformes;Sternoptychidae;Polyipnus;158840;;;
Rhodaliidae;;;nouvelle espèce-historiquement mal identifiée dans la région;Animalia;Cnidaria;Hydrozoa;Siphonophorae;Rhodaliidae;rank absent;135350;;;
Semisuberites cribrosa;Lacy Horny Sponge;Éponge Criblée;nouvelle espèce-historiquement mal identifiée dans la région;Animalia;Porifera;Demospongiae;Poecilosclerida;Esperiopsidae;Semisuberites;168379;;;
Boreotrophon truncatus;Bobtail Trophon;;besoin d une révision;Animalia;Mollusca;Gastropoda;Neogastropoda;Muricidae;Boreotrophon;146733;;;
Buccinum cyaneum;Bluish Whelk;;besoin d une révision;Animalia;Mollusca;Gastropoda;Neogastropoda;Buccinidae;Buccinum;138862;;;
Buccinum totteni;Thin Whelk;;besoin d une révision;Animalia;Mollusca;Gastropoda;Neogastropoda;Buccinidae;Buccinum;160137;;;
Colus islandicus;Iceland Whelk;;besoin d une révision;Animalia;Mollusca;Gastropoda;Neogastropoda;Buccinidae;Colus;138902;;;
Colus stimpsoni;Stimpson S Spindle Shell;;besoin d une révision;Animalia;Mollusca;Gastropoda;Neogastropoda;Buccinidae;Colus;160215;;;
Neptunea decemcostata;Wrinkle Whelk;Neptunée À Dix Côtes;besoin d une révision;Animalia;Mollusca;Gastropoda;Neogastropoda;Buccinidae;Neptunea;491164;;;
Neptunea despecta;Common Northern Neptune;Neptunée Commune Du Nord;besoin d une révision;Animalia;Mollusca;Gastropoda;Neogastropoda;Buccinidae;Neptunea;138923;;;
Epizoanthus erdmanni;Erdmann S Zoanthid;Zoanthaire De Erdmann;besoin d une confirmation d espèce;Animalia;Cnidaria;Anthozoa;Zoantharia;Epizoanthidae;Epizoanthus;101027;;;
Onchidiopsis;;;besoin d une confirmation d espèce;Animalia;Mollusca;Gastropoda;Littorinimorpha;Velutinidae;Onchidiopsis;138628;;;
Aldisa zetlandica;;;besoin d une confirmation de présence dans la région;Animalia;Mollusca;Gastropoda;Nudibranchia;Cadlinidae;Aldisa;138739;;;
Arctogadus glacialis;Polar Cod;Saïda Imberbe;besoin d une confirmation de présence dans la région;Animalia;Chordata;Actinopteri;Gadiformes;Gadidae;Arctogadus;126432;;;
Boreomysis nobilis;;;besoin d une confirmation de présence dans la région;Animalia;Arthropoda;Malacostraca;Mysida;Mysidae;Boreomysis;119969;;;
Careproctus longipinnis;Longfin Snailfish;Limace À Longues Nageoires;besoin d une confirmation de présence dans la région;Animalia;Chordata;Actinopteri;Perciformes;Liparidae;Careproctus;146774;;;
Careproctus ranula;Scotian Snailfish;Limace Acadienne;besoin d une confirmation de présence dans la région;Animalia;Chordata;Actinopteri;Perciformes;Liparidae;Careproctus;159523;;;
Dendronotus elegans;;;besoin d une confirmation de présence dans la région;Animalia;Mollusca;Gastropoda;Nudibranchia;Dendronotidae;Dendronotus;156710;;;
Doridoxa walteri;;;besoin d une confirmation de présence dans la région;Animalia;Mollusca;Gastropoda;Nudibranchia;Doridoxidae;Doridoxa;576389;;;
Ekmania barthii;Barth S Sea Cucumber;Holothurie De Barth;besoin d une confirmation de présence dans la région;Animalia;Echinodermata;Holothuroidea;Dendrochirotida;Cucumariidae;Ekmania;124681;;;
Elasipodida;;;besoin d une confirmation de présence dans la région;Animalia;Echinodermata;Holothuroidea;Elasipodida;rank absent;rank absent;123112;;;
Eudistoma vitreum;;;besoin d une confirmation de présence dans la région;Animalia;Chordata;Ascidiacea;Aplousobranchia;Polycitoridae;Eudistoma;103624;;;
Gaidropsarus argentatus;Silver Rockling;Mustèle Argentée;besoin d une confirmation de présence dans la région;Animalia;Chordata;Actinopteri;Gadiformes;Lotidae;Gaidropsarus;126451;;;
Gorgonocephalus eucnemis;;;besoin d une confirmation de présence dans la région;Animalia;Echinodermata;Ophiuroidea;Euryalida;Gorgonocephalidae;Gorgonocephalus;124969;;;
Hymenopenaeus debilis;;;besoin d une confirmation de présence dans la région;Animalia;Arthropoda;Malacostraca;Decapoda;Solenoceridae;Hymenopenaeus;107117;;;
Leptasterias groenlandica;;;besoin d une confirmation de présence dans la région;Animalia;Echinodermata;Asteroidea;Forcipulatida;Asteriidae;Leptasterias;369176;;;
Magnisudis atlantica;Duckbill Barracudina;Lussion À Bec De Canard ou Barracudine À  Grande Bouche ou Barracudine;besoin d une confirmation de présence dans la région;Animalia;Chordata;Actinopteri;Aulopiformes;Paralepididae;Magnisudis;126359;;;
Musculus glacialis;Corrugate Mussel;;besoin d une confirmation de présence dans la région;Animalia;Mollusca;Bivalvia;Mytilida;Mytilidae;Musculus;467467;;;
Pennatula phosphorea;Phosphorescent Sea Pen;Pennatule Phosphorescente;besoin d une confirmation de présence dans la région;Animalia;Cnidaria;Anthozoa;Pennatulacea;Pennatulidae;Pennatula;128517;;;
Plesionika martia;Golden Shrimp;Crevette Dorée (La);besoin d une confirmation de présence dans la région;Animalia;Arthropoda;Malacostraca;Decapoda;Pandalidae;Plesionika;107661;;;
Porcellidium;;;besoin d une confirmation de présence dans la région;Animalia;Arthropoda;Hexanauplia;Harpacticoida;Porcellidiidae;Porcellidium;115433;;;
Pseudobonellia iraidii;Spoon Worm;;besoin d une confirmation de présence dans la région;Animalia;Annelida;Polychaeta;Echiuroidea;Bonelliidae;Pseudobonellia;157605;;;
Strongylocentrotus pallidus;Pale Sea Urchin;Oursin Pâle;besoin d une confirmation de présence dans la région;Animalia;Echinodermata;Echinoidea;Camarodonta;Strongylocentrotidae;Strongylocentrotus;124324;;;
Synoicum pulmonaria;Tennis Ball Ascidian;;besoin d une confirmation de présence dans la région;Animalia;Chordata;Ascidiacea;Aplousobranchia;Polyclinidae;Synoicum;103692;;;
Triglops pingelii;Ribbed Sculpin;Faux-Trigle Bardé;besoin d une confirmation de présence dans la région;Animalia;Chordata;Actinopteri;Perciformes;Cottidae;Triglops;127207;;;
Rossia;;;besoin d une confirmation for 2 species;Chromista;Ochrophyta;Bacillariophyceae;Naviculales;Sellaphoraceae;Rossia;602300;;;
Gymnelus hemifasciatus;Halfbarred Pout;Unernak À Grands Yeux;besoin d une confirmation (vs autres Zoarcidae);Animalia;Chordata;Actinopteri;Perciformes;Zoarcidae;Gymnelus;254583;;;
Gymnelus retrodorsalis;Aurora Pout;Unernak Aurore;besoin d une confirmation (vs autres Zoarcidae);Animalia;Chordata;Actinopteri;Perciformes;Zoarcidae;Gymnelus;127095;;;
Lycodes esmarkii;;;besoin d une confirmation (vs autres Zoarcidae);Animalia;Chordata;Actinopteri;Perciformes;Zoarcidae;Lycodes;127103;;;
Lycodes lavalaei;Newfoundland Eelpout;Lycode Du Labrador;besoin d une confirmation (vs autres Zoarcidae);Animalia;Chordata;Actinopteri;Perciformes;Zoarcidae;Lycodes;127107;;;
Lycodes polaris;Canadian Eelpout;Lycode Polaire;besoin d une confirmation (vs autres Zoarcidae);Animalia;Chordata;Actinopteri;Perciformes;Zoarcidae;Lycodes;127111;;;
Lycodes reticulatus;Arctic Eelpout;Lycode Arctique;besoin d une confirmation (vs autres Zoarcidae);Animalia;Chordata;Actinopteri;Perciformes;Zoarcidae;Lycodes;127112;;;
Lycodes terraenovae;Atlantic Eelpout;Lycode Atlantique;besoin d une confirmation (vs autres Zoarcidae);Animalia;Chordata;Actinopteri;Perciformes;Zoarcidae;Lycodes;127117;;;
Liparis coheni;Gulf Snailfish;Limace De Cohen;besoin d une confirmation (vs autres Liparis);Animalia;Chordata;Actinopteri;Perciformes;Liparidae;Liparis;159525;;;
Liparis gibbus;Variegated Snailfish;Limace Marbrée;besoin d une confirmation (vs autres Liparis) Statut arctique potentielle erreur identification;Animalia;Chordata;Actinopteri;Perciformes;Liparidae;Liparis;159526;;;
Liparis inquilinus;Inquiline Snailfish;Limace Des Pectens;besoin d une confirmation (vs autres Liparis);Animalia;Chordata;Actinopteri;Perciformes;Liparidae;Liparis;159528;;;
Psolus fabricii;Scarlet Sea Cucumber;Holothurie Écarlate;pas de juvéniles (only P. phantapus);Animalia;Echinodermata;Holothuroidea;Dendrochirotida;Psolidae;Psolus;124703;;;
Metridium senile;Frilled Sea Anemone;Anémone Plumeuse;Metridium farcimen dans BOLD, Metridium dianthus dans WoRMS, Metridium senile in observations;Animalia;Cnidaria;Anthozoa;Actiniaria;Metridiidae;Metridium;100982;;;
Hippoglossoides platessoides;American Plaice ou Long Rough Dab;Balai ou Faux Flétan ou Plie Canadienne;peut être 2 espèces, NO vs NE Atlantique;Animalia;Chordata;Actinopteri;Pleuronectiformes;Pleuronectidae;Hippoglossoides;127137;;;
Ammodytes;;;peut être 2 ou 3 espèces dans NO Atlantique;Animalia;Chordata;Actinopteri;Perciformes;Ammodytidae;Ammodytes;125909;;;
Palaemon adspersus;;;espèce invasive - historiquement mal identifiée dans la région du St-Laurent;Animalia;Arthropoda;Malacostraca;Decapoda;Palaemonidae;Palaemon;107613;;;
Botrylloides aureus;;;espèce endémique - historiquement mal identifiée dans la région du St-Laurent;Animalia;Chordata;Ascidiacea;Stolidobranchia;Styelidae;Botrylloides;1307332;;;
Dichelopandalus leptocerus;Bristled Shrimp;Crevette Soyeuse;espèce endémique - historiquement mal identifiée dans la région du St-Laurent;Animalia;Arthropoda;Malacostraca;Decapoda;Pandalidae;Dichelopandalus;158356;;;
Lebbeus polaris;Polar Shrimp;Crevette Polaire;espèces criptiques (plus qu une);Animalia;Arthropoda;Malacostraca;Decapoda;Thoridae;Lebbeus;107521;;;
Spirontocaris liljeborgii;Friendly Bladed Shrimp;Crevette Amicale ou Bouc Épineux (Le);espèces criptiques (plus qu'une);Animalia;Arthropoda;Malacostraca;Decapoda;Thoridae;Spirontocaris;107531;;;
Spirontocaris spinus;Parrot Bladed Shrimp;Crevette Perroquet;espèces criptiques (plus qu'une);Animalia;Arthropoda;Malacostraca;Decapoda;Thoridae;Spirontocaris;107533;;;
Aphrodita hastata;;;besoin de confirmer si l espèce est unique dans la région;Animalia;Annelida;Polychaeta;Phyllodocida;Aphroditidae;Aphrodita;157181;;;
Bathypolypus bairdii;Spoonarm Octopus;;besoin de confirmer si l espèce est unique dans la région;Animalia;Mollusca;Cephalopoda;Octopoda;Bathypolypodidae;Bathypolypus;157011;;;
Crossaster papposus;Spiny Sun Star ou Common Sunstar;Soleil De Mer Épineux ou Etoile Solaire ou Crachat D Amiral;besoin de confirmer si l espèce est unique dans la région;Animalia;Echinodermata;Asteroidea;Valvatida;Solasteridae;Crossaster;124154;;;
Cuspidaria glacialis;Glacial Dipperclam;;besoin de confirmer si l espèce est unique dans la région;Animalia;Mollusca;Bivalvia;rank absent;Cuspidariidae;Cuspidaria;139445;;;
Cyanea capillata;Lion S Mane Jellyfish;Crinière De Lion;besoin de confirmer si l espèce est unique dans la région;Animalia;Cnidaria;Scyphozoa;Semaeostomeae;Cyaneidae;Cyanea;135301;;;
Epimeria (Epimeria) loricata;;;besoin de confirmer si l espèce est unique dans la région;Animalia;Arthropoda;Malacostraca;Amphipoda;Epimeriidae;Epimeria;1053399;;;
Maera loveni;;;besoin de confirmer si l espèce est unique dans la région;Animalia;Arthropoda;Malacostraca;Amphipoda;Maeridae;Maera;102820;;;
Novodinia americana;;;besoin de confirmer si l espèce est unique dans la région;Animalia;Echinodermata;Asteroidea;Brisingida;Brisingidae;Novodinia;178261;;;
Paramphithoe hystrix;;;besoin de confirmer si l espèce est unique dans la région;Animalia;Arthropoda;Malacostraca;Amphipoda;Paramphithoidae;Paramphithoe;102152;;;
Poraniomorpha bidens;;;besoin de confirmer si l espèce est unique dans la région;Animalia;Echinodermata;Asteroidea;Valvatida;Poraniidae;Poraniomorpha;;990716;;
Solaster endeca;Purple Sun Star;Soleil De Mer Pourpre;besoin de confirmer si l espèce est unique dans la région;Animalia;Echinodermata;Asteroidea;Valvatida;Solasteridae;Solaster;124160;;;
Stauroteuthis syrtensis;;;besoin de confirmer si l espèce est unique dans la région;Animalia;Mollusca;Cephalopoda;Octopoda;Stauroteuthidae;Stauroteuthis;153122;;;
Stegocephalus inflatus;;;besoin de confirmer si l espèce est unique dans la région;Animalia;Arthropoda;Malacostraca;Amphipoda;Stegocephalidae;Stegocephalus;103105;;;
Syscenus infelix;;;besoin de confirmer si l espèce est unique dans la région;Animalia;Arthropoda;Malacostraca;Isopoda;Aegidae;Syscenus;156446;;;
Xylonora atlantica;;;besoin de confirmer si l espèce est unique dans la région;Animalia;Mollusca;Bivalvia;Myida;Xylophagaidae;Xylonora;1472292;;;
Mallotus villosus;Capelin;Capelan Atlantique;besoin de confirmer si l espèce est unique dans la région;Animalia;Chordata;Actinopteri;Osmeriformes;Osmeridae;Mallotus;126735;;;
Astarte borealis;Boreal Astarte;;besoin de confirmer s il s agit d une seule espèce;Animalia;Mollusca;Bivalvia;Carditida;Astartidae;Astarte;138818;;;
Mesodesma arctatum;Arctic Wedgeclam;Clovisse Arctique;besoin de confirmer s il s agit d une seule espèce;Animalia;Mollusca;Bivalvia;Venerida;Mesodesmatidae;Mesodesma;156805;;;
Mya pseudoarenaria;;;besoin de confirmer s il s agit d une population endémique isolée;Animalia;Mollusca;Bivalvia;Myida;Myidae;Mya;156249;;;
Leucoraja ocellata;Winter Skate;Raie Tachetée;populations presque éteinte;Animalia;Chordata;Elasmobranchii;Rajiformes;Rajidae;Leucoraja;158553;;;
Aartsenia candida;;;;Animalia;Mollusca;Gastropoda;rank absent;Pyramidellidae;Aartsenia;140895;;Oui;Oui
Aberranta enigmatica;;;;Animalia;Annelida;Polychaeta;rank absent;Aberrantidae;Aberranta;326194;;;
Abietinaria abietina;;;;Animalia;Cnidaria;Hydrozoa;Leptothecata;Sertulariidae;Abietinaria;117870;;Oui;
Abietinaria filicula;;;;Animalia;Cnidaria;Hydrozoa;Leptothecata;Sertulariidae;Abietinaria;117871;;Oui;
Abietinaria kincaidi;;;;Animalia;Cnidaria;Hydrozoa;Leptothecata;Sertulariidae;Abietinaria;285370;;Oui;
Abietinaria pulchra;;;;Animalia;Cnidaria;Hydrozoa;Leptothecata;Sertulariidae;Abietinaria;117873;;Oui;
Abietinaria thuiarioides;;;;Animalia;Cnidaria;Hydrozoa;Leptothecata;Sertulariidae;Abietinaria;231757;;Oui;
Abietinaria turgida;;;;Animalia;Cnidaria;Hydrozoa;Leptothecata;Sertulariidae;Abietinaria;157609;;Oui;
Abludomelita amoena;;;;Animalia;Arthropoda;Malacostraca;Amphipoda;Melitidae;Abludomelita;535959;;Oui;Oui
Abludomelita obtusata;;;;Animalia;Arthropoda;Malacostraca;Amphipoda;Melitidae;Abludomelita;102788;;Oui;Oui
Abothrium gadi;;;;Animalia;Platyhelminthes;Cestoda;Bothriocephalidea;Triaenophoridae;Abothrium;105216;;Oui;
Abralia (Asteroteuthis) veranyi;;;;Animalia;Mollusca;Cephalopoda;Oegopsida;Enoploteuthidae;Abralia;878660;;;
Abralia (Pygmabralia) grimpei;;;;Animalia;Mollusca;Cephalopoda;Oegopsida;Enoploteuthidae;Abralia;878672;;;
Abralia (Pygmabralia) redfieldi;;;;Animalia;Mollusca;Cephalopoda;Oegopsida;Enoploteuthidae;Abralia;878674;;;
Abraliopsis (Abraliopsis) morisii;;;;Animalia;Mollusca;Cephalopoda;Oegopsida;Enoploteuthidae;Abraliopsis;878692;;;
Abudefduf saxatilis;Sergeant Major;Castagnole ou Chauffet Soleil;;Animalia;Chordata;Actinopteri;Ovalentaria incertae sedis;Pomacentridae;Abudefduf;159288;;;
Acanella arbuscula;Bonsai Bamboo Coral;Corail Arbustif;;Animalia;Cnidaria;Anthozoa;Alcyonacea;Isididae;Acanella;125371;;;
Acanthephyra pelagica;Spiny Pelagic Deep-Sea Shrimp;Crevette Pélagique;;Animalia;Arthropoda;Malacostraca;Decapoda;Acanthephyridae;Acanthephyra;107581;;;Oui
Acanthephyra purpurea;Purple Deep-Sea Shrimp;Crevette Pourpre;;Animalia;Arthropoda;Malacostraca;Decapoda;Acanthephyridae;Acanthephyra;107582;;;
Acanthobothrium coronatum;;;;Animalia;Platyhelminthes;Cestoda;Onchoproteocephalidea;Onchobothriidae;Acanthobothrium;159461;;Oui;
Acanthochondria cornuta;;Chondracanthe Cornu (Le);;Animalia;Arthropoda;Hexanauplia;Cyclopoida;Chondracanthidae;Acanthochondria;128755;;Oui;Oui
Acanthocybium solandri;Wahoo;Thazard Bâtard;;Animalia;Chordata;Actinopteri;Scombriformes;Scombridae;Acanthocybium;127014;;;
Acanthocyclops vernalis vernalis;;;;Animalia;Arthropoda;Hexanauplia;Cyclopoida;Cyclopidae;Acanthocyclops;729755;;;
Acanthodoris pilosa;Hairy Spiny Doris;;;Animalia;Mollusca;Gastropoda;Nudibranchia;Onchidorididae;Acanthodoris;140627;;Oui;Oui
Acanthogorgia armata;Armoured Sea Fan Coral;Corail À Armure;;Animalia;Cnidaria;Anthozoa;Alcyonacea;Acanthogorgiidae;Acanthogorgia;125348;;;
Acantholumpenus mackayi;Pighead Prickleback;Terrassier À Six Lignes;;Animalia;Chordata;Actinopteri;Perciformes;Stichaeidae;Acantholumpenus;249703;;;
Acanthonotozoma inflatum;;;;Animalia;Arthropoda;Malacostraca;Amphipoda;Acanthonotozomatidae;Acanthonotozoma;101873;;Oui;Oui
Acanthonotozoma rusanovae;;;;Animalia;Arthropoda;Malacostraca;Amphipoda;Acanthonotozomatidae;Acanthonotozoma;101876;;Oui;Oui
Acanthonotozoma serratum;;;;Animalia;Arthropoda;Malacostraca;Amphipoda;Acanthonotozomatidae;Acanthonotozoma;101877;;Oui;Oui
Acanthonotozoma sinuatum;;;;Animalia;Arthropoda;Malacostraca;Amphipoda;Acanthonotozomatidae;Acanthonotozoma;101878;;Oui;Oui
Acanthostepheia malmgreni;;;;Animalia;Arthropoda;Malacostraca;Amphipoda;Oedicerotidae;Acanthostepheia;102864;;Oui;Oui
Acartia (Acanthacartia) bifilosa;;;;Animalia;Arthropoda;Hexanauplia;Calanoida;Acartiidae;Acartia;345919;;Oui;Oui
Acartia (Acanthacartia) tonsa;;Copépode À  Rames (Le);;Animalia;Arthropoda;Hexanauplia;Calanoida;Acartiidae;Acartia;345943;;Oui;Oui
Acartia (Acartia) forcipata;;;;Animalia;Arthropoda;Hexanauplia;Calanoida;Acartiidae;Acartia;346027;;Oui;Oui
Acartia (Acartiura) clausi;;;;Animalia;Arthropoda;Hexanauplia;Calanoida;Acartiidae;Acartia;149755;;Oui;Oui
Acartia (Acartiura) hudsonica;;;;Animalia;Arthropoda;Hexanauplia;Calanoida;Acartiidae;Acartia;149751;;Oui;Oui
Acartia (Acartiura) longiremis;;;;Animalia;Arthropoda;Hexanauplia;Calanoida;Acartiidae;Acartia;346037;;Oui;Oui
Acaulis primarius;;;;Animalia;Cnidaria;Hydrozoa;Anthoathecata;Acaulidae;Acaulis;117260;;Oui;
Aceroides latipes;;;;Animalia;Arthropoda;Malacostraca;Amphipoda;Oedicerotidae;Aceroides;;94495;Oui;Oui
Achelia scabra;;;;Animalia;Arthropoda;Pycnogonida;Pantopoda;Ammotheidae;Achelia;158475;;Oui;Oui
Achelia spinosa;;;;Animalia;Arthropoda;Pycnogonida;Pantopoda;Ammotheidae;Achelia;158476;;Oui;Oui
Acipenser brevirostrum;Shortnose Sturgeon;Esturgeon À Museau Court;;Animalia;Chordata;Actinopteri;Acipenseriformes;Acipenseridae;Acipenser;157869;;;
Acipenser fulvescens;Lake Sturgeon;Esturgeon Jaune;;Animalia;Chordata;Actinopteri;Acipenseriformes;Acipenseridae;Acipenser;271694;;;
Acipenser oxyrinchus;Atlantic Sturgeon;Esturgeon Noir ou Esturgeon Noir D Amérique;;Animalia;Chordata;Actinopteri;Acipenseriformes;Acipenseridae;Acipenser;151802;;;Oui
Acirsa borealis;Chalky Wentletrap;;;Animalia;Mollusca;Gastropoda;[unassigned] Caenogastropoda;Epitoniidae;Acirsa;159951;;Oui;Oui
Aclis tenuis;Thin Aclis;;;Animalia;Mollusca;Gastropoda;Littorinimorpha;Eulimidae;Aclis;159963;;Oui;Oui
Acteocina canaliculata;Channelled Barrel-Bubble;Bulle Cannelée;;Animalia;Mollusca;Gastropoda;Cephalaspidea;Tornatinidae;Acteocina;160065;;Oui;Oui
Actinauge cristata;;;;Animalia;Cnidaria;Anthozoa;Actiniaria;Hormathiidae;Actinauge;158210;;Oui;Oui
Actinauge verrillii;Reticulate Anemone;;;Animalia;Cnidaria;Anthozoa;Actiniaria;Hormathiidae;Actinauge;592915;;;
Actinocythereis dawsoni;;;;Animalia;Arthropoda;Ostracoda;Podocopida;Trachyleberididae;Actinocythereis;159933;;Oui;Oui
Actinocythereis dunelmensis;;;;Animalia;Arthropoda;Ostracoda;Podocopida;Trachyleberididae;Actinocythereis;772698;;Oui;Oui
Actinostola callosa;;;;Animalia;Cnidaria;Anthozoa;Actiniaria;Actinostolidae;Actinostola;100839;;;Oui
Adalaria proxima;Yellow False Doris;;;Animalia;Mollusca;Gastropoda;Nudibranchia;Onchidorididae;Adalaria;140629;;Oui;Oui
Admete viridula;Northern Admete;Admète Commune Du Nord;;Animalia;Mollusca;Gastropoda;Neogastropoda;Cancellariidae;Admete;138969;;Oui;Oui
Aedes atropalpus;;;;Animalia;Arthropoda;Insecta;Diptera;Culicidae;Aedes;;126248;Oui;
Aega psora;;;;Animalia;Arthropoda;Malacostraca;Isopoda;Aegidae;Aega;118827;;Oui;Oui
Aeginina aenigmatica;;;;Animalia;Arthropoda;Malacostraca;Amphipoda;Caprellidae;Aeginina;158158;;Oui;Oui
Aeginina longicornis;;;;Animalia;Arthropoda;Malacostraca;Amphipoda;Caprellidae;Aeginina;101820;;Oui;Oui
Aeginopsis laurentii;;;;Animalia;Cnidaria;Hydrozoa;Narcomedusae;Solmundaeginidae;Aeginopsis;117265;;Oui;
Aeolidia papillosa;Grey Sea Slug;Eolidien À  Papilles;;Animalia;Mollusca;Gastropoda;Nudibranchia;Aeolidiidae;Aeolidia;138709;;Oui;Oui
Aequipecten glyptus;Red-Ribbed Scallop;;;Animalia;Mollusca;Bivalvia;Pectinida;Pectinidae;Aequipecten;156732;;;
Aetea anguina;;;;Animalia;Bryozoa;Gymnolaemata;Cheilostomatida;Aeteidae;Aetea;111062;;Oui;
Aetideopsis armata;;;;Animalia;Arthropoda;Hexanauplia;Calanoida;Aetideidae;Aetideopsis;104267;;;
Aetideus armatus;;;;Animalia;Arthropoda;Hexanauplia;Calanoida;Aetideidae;Aetideus;104275;;Oui;Oui
Agarum clathratum;;;;Chromista;Ochrophyta;Phaeophyceae;Laminariales;Agaraceae;Agarum;157207;;;
Aglantha digitale;Pink Helmet;;;Animalia;Cnidaria;Hydrozoa;Trachymedusae;Rhopalonematidae;Aglantha;117849;;Oui;Oui
Aglaophamus circinata;;;;Animalia;Annelida;Polychaeta;Phyllodocida;Nephtyidae;Aglaophamus;157145;;Oui;Oui
Aglaophamus malmgreni;;;;Animalia;Annelida;Polychaeta;Phyllodocida;Nephtyidae;Aglaophamus;130344;;Oui;Oui
Agriopoma morrhuanum;;;;Animalia;Mollusca;Bivalvia;Venerida;Veneridae;Agriopoma;594424;;Oui;Oui
Ahlia egmontis;Key Worm Eel;Serpenton D Egmont;;Animalia;Chordata;Actinopteri;Anguilliformes;Ophichthidae;Ahlia;158595;;;
Ahliesaurus berryi;;;;Animalia;Chordata;Actinopteri;Aulopiformes;Notosudidae;Ahliesaurus;126347;;;
Akanthophoreus gracilis;;;;Animalia;Arthropoda;Malacostraca;Tanaidacea;Akanthophoreidae;Akanthophoreus;136340;;Oui;Oui
Alamprops quadriplicatus;;;;Animalia;Arthropoda;Malacostraca;Cumacea;Lampropidae;Alamprops;1307579;;Oui;Oui
Alaria esculenta;Dabberlocks;;;Chromista;Ochrophyta;Phaeophyceae;Laminariales;Alariaceae;Alaria;145716;;;
Albula vulpes;Bonefish;Tarpon;;Animalia;Chordata;Actinopteri;Albuliformes;Albulidae;Albula;212256;;;
Alca torda;Razorbill;Petit Pingouin;;Animalia;Chordata;Aves;Charadriiformes;Alcidae;Alca;137128;;;
Alcyonidioides mytili;;;;Animalia;Bryozoa;Gymnolaemata;Ctenostomatida;Alcyonidiidae;Alcyonidioides;468026;;;
Alcyonidium cellarioides;;;;Animalia;Bryozoa;Gymnolaemata;Ctenostomatida;Alcyonidiidae;Alcyonidium;111596;;Oui;
Alcyonidium diaphanum;;;;Animalia;Bryozoa;Gymnolaemata;Ctenostomatida;Alcyonidiidae;Alcyonidium;111597;;Oui;
Alcyonidium gelatinosum;;;;Animalia;Bryozoa;Gymnolaemata;Ctenostomatida;Alcyonidiidae;Alcyonidium;111600;;Oui;Oui
Alcyonidium hirsutum;;;;Animalia;Bryozoa;Gymnolaemata;Ctenostomatida;Alcyonidiidae;Alcyonidium;111601;;Oui;
Alcyonidium pachydermatum;;;;Animalia;Bryozoa;Gymnolaemata;Ctenostomatida;Alcyonidiidae;Alcyonidium;470640;;Oui;Oui
Alcyonidium parasiticum;;;;Animalia;Bryozoa;Gymnolaemata;Ctenostomatida;Alcyonidiidae;Alcyonidium;111604;;Oui;
Alcyonium digitatum;Dead Man S Fingers Soft Coral;Corail Digité;;Animalia;Cnidaria;Anthozoa;Alcyonacea;Alcyoniidae;Alcyonium;125333;;;
Alderia modesta;Modest Alderia;;;Animalia;Mollusca;Gastropoda;rank absent;Limapontiidae;Alderia;141555;;Oui;Oui
Aldrovandia affinis;;;;Animalia;Chordata;Actinopteri;Notacanthiformes;Halosauridae;Aldrovandia;126637;;;
Aldrovandia phalacra;;;;Animalia;Chordata;Actinopteri;Notacanthiformes;Halosauridae;Aldrovandia;126638;;;
